gene,essential,comment
PA14_01150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01170,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01200,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01220,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01230,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01240,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01270,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01290,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01300,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01310,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01320,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01330,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01340,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01350,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01360,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01380,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01390,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01400,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01410,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01430,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01440,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01460,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01470,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01480,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01490,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01500,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01510,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01520,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01540,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01550,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01560,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01580,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01600,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01610,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01620,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01640,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01660,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01670,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01680,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01690,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01710,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01720,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01730,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01750,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01760,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01770,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01780,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01790,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01800,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01810,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01830,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01840,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01860,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01870,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01890,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01900,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01910,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01930,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01940,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01960,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01970,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01980,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01990,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02010,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02020,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02050,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02060,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02090,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02100,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02130,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02140,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02200,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02220,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02230,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02260,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02270,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02290,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02300,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02310,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02330,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02340,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02360,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02370,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02380,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02390,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02410,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02420,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02435,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02450,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02460,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02470,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02490,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02500,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02510,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02520,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02530,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02550,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02560,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02570,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02580,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02590,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02610,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02620,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02630,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02640,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02650,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02660,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02680,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02690,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02700,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02720,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02730,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02740,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02750,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02760,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02770,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02790,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02810,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02830,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02840,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02850,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02870,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02890,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02900,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02910,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02930,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02960,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02970,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02980,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_02990,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03000,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03010,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_03020,no,"Manoil and Ausubel Overlap, 2005, LB"
