gene,essential,comment
PA14_05870,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06230,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06290,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06500,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06510,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06570,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06660,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06670,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06700,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06720,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06750,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06810,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06830,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_06960,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07090,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07130,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07170,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07190,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07230,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07590,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07700,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07740,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07850,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07860,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07870,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07900,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07910,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07930,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07940,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08340,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08350,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08360,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08390,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08400,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08480,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08560,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08630,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09150,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09210,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09220,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09240,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09270,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09280,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_09290,no,"Manoil and Ausubel Overlap, 2005, LB met"
